20 · COBERTURA DOCUMENTAL (resumo),,,,,,
Contagem de status por produto (formulas sobre 07_PRODUCT_DOCUMENTS).,,,,,,
OBJETIVO,Reduzir MISSING com evidencia.,,,,,
PROXIMA ACAO,Nenhuma.,,DONO,Leonardo,STATUS,WORKING
product_id,PRESENT,PARTIAL,EMBEDDED,MISSING,total_docs,
PRD-ASA,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,
PRD-TDAH-OS,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,
PRD-COPILOTO-TDAH,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,
PRD-DESK-OS,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,
PRD-LEONARDO-OS,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,
PRD-COURSE-EXPRESS,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,
PRD-BUSINESS-SUITE,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,
,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,
