15 · RELACIONAMENTOS,,,,,,
Relacoes explicitas entre produtos irmaos (USES/INTEGRATES_WITH/PROVIDES_TO/REFERENCES).,,,,,,
OBJETIVO,Garantir integridade referencial.,,,,,
PROXIMA ACAO,Nenhuma.,,DONO,Leonardo,STATUS,WORKING
from_id,relation_type,to_id,Nota,,,
PRD-LEONARDO-OS,INTEGRATES_WITH,PRD-DESK-OS,Integra DESK-OS na operacao pessoal.,,,
PRD-LEONARDO-OS,USES,PRD-ASA,Utiliza recursos do ASA.,,,
PRD-LEONARDO-OS,USES,CAP-MACRO-PERSONALIZATION,Implementacao concreta da macro-personalizacao.,,,
PRD-LEONARDO-OS,INTEGRATES_WITH,PRG-TDAH,Pode incorporar modulos do programa TDAH.,,,
PLT-PADRAO-OS,PROVIDES_TO,PRJ-LEONARDO-001,Governanca e arquitetura-base para todos os programas.,,,
CAP-MACRO-PERSONALIZATION,PROVIDES_TO,PRD-LEONARDO-OS,Configura ICPs e produtos.,,,
PRD-ASA,PROVIDES_TO,PRJ-LEONARDO-001,"Arquitetura, metodos e ativos agenticos.",,,
PLT-DIRECTORY,REFERENCES,PRJ-LEONARDO-001,Cataloga ativos sem ser proprietario.,,,
,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,
