05 · ITEMS MASTER,,,,,,,,,,,,,,,,,,,,,,
Tabela operacional central: 54 arquivos + 97 abas + itens lembrados. Colunas em ordem cognitiva.,,,,,,,,,,,,,,,,,,,,,,
OBJETIVO,Dividir abas multi-produto por secao.,,,,,,,,,,,,,,,,,,,,,
PROXIMA ACAO,Revisar itens marcados REVIEW_REQUIRED.,,DONO,Leonardo,STATUS,WORKING,,,,,,,,,,,,,,,,
item_id,item_name,entity_type,program_id,product_id,cluster_id,item_type,status,authority_status,tags_primary,source_file,source_locator,next_action,review_required,item_granularity,documentation_status,source_basis,parent_item_id,source_sheet,source_hash,nonempty_rows,header_preview,legacy_names
FILE-001,03DESKOSPLANILHAMESTRA.xlsx,FILE_WORKBOOK,PRG-DESK-OS,PRD-DESK-OS,C04,WORKBOOK,CONFIRMED,SUPERSEDED,#cluster:architecture-system #programa:desk-os #origem:file,03DESKOSPLANILHAMESTRA.xlsx,file:03DESKOSPLANILHAMESTRA.xlsx,,,FILE_ROOT,PRESENT,FILE,,03DESKOSPLANILHAMESTRA.xlsx,90a3b94d359d,150,"abas: Dashboard, Requisitos, Geometria, Storyboard, Fluxos_QR, Decisoes_Riscos, ",
FILE-002,03DESKOSPLANILHAMESTRAV3OUTPUTSBENCHMARK.xlsx,FILE_WORKBOOK,PRG-DESK-OS,PRD-DESK-OS,C04,WORKBOOK,CONFIRMED,WORKING,#cluster:architecture-system #programa:desk-os #origem:file,03DESKOSPLANILHAMESTRAV3OUTPUTSBENCHMARK.xlsx,file:03DESKOSPLANILHAMESTRAV3OUTPUTSBENCHMARK.xlsx,,,FILE_ROOT,PRESENT,FILE,,03DESKOSPLANILHAMESTRAV3OUTPUTSBENCHMARK.xlsx,d463c87ca843,1683,"abas: Dashboard, Requisitos, Geometria, Storyboard, Fluxos_QR, Decisoes_Riscos, ",
FILE-003,2306_DADOS_ESTRUTURADOS_COMPLETO.xlsx,FILE_WORKBOOK,PRG-TDAH,,C12,WORKBOOK,PROPOSED,WORKING,#cluster:editorial-content #programa:tdah #origem:file,2306_DADOS_ESTRUTURADOS_COMPLETO.xlsx,file:2306_DADOS_ESTRUTURADOS_COMPLETO.xlsx,Validar classificacao,SIM,FILE_ROOT,PRESENT,FILE,,2306_DADOS_ESTRUTURADOS_COMPLETO.xlsx,068eecdaa550,167,"abas: README, PAGINAS, CLAIMS_E_DADOS, PALAVRAS_CHAVE, PUBLICO, CONCORRENTES, TE",sistema editorial
FILE-004,99-TEMPLATE_CDM_OURO,TEMPLATE,,,C07,TEMPLATE,CONFIRMED,WORKING,#cluster:templates-assets #origem:file,99-TEMPLATE_CDM_OURO,file:99-TEMPLATE_CDM_OURO,,,FILE_ROOT,PRESENT,FILE,,99-TEMPLATE_CDM_OURO,62f85e8e3bc7,474,Prompt padrao ouro,template 99-cmd ouro
FILE-005,ASA_-_RATIONALE_.txt,RATIONALE,PRG-ASA,PRD-ASA,C04,CMD,CONFIRMED,WORKING,#cluster:architecture-system #programa:asa #origem:file,ASA_-_RATIONALE_.txt,file:ASA_-_RATIONALE_.txt,,,FILE_ROOT,PRESENT,FILE,,ASA_-_RATIONALE_.txt,4028780f2f6d,1338,CMD > Nome do agente: META Agentic Systems Architect,META Agentic Systems Architect
FILE-006,BUSINESS_GMT_RATIONAL_,RATIONALE,PRG-SMALL-BUSINESS,,C02,DECISION,CONFIRMED,DUPLICATE_COPY,#cluster:business-gtm #programa:small-business #origem:file,BUSINESS_GMT_RATIONAL_,file:BUSINESS_GMT_RATIONAL_,,,FILE_ROOT,PRESENT,FILE,,BUSINESS_GMT_RATIONAL_,9f7be64c9de1,268,V-20260615-005 — Uso Correto da PMF Master Matrix no Pré-GTM — #padraos #gtm — D,duplicata de GTM_RATIONALE
FILE-007,BUSINESS_PACK_.txt,PRODUCT_DOC,PRG-DESK-OS,PRD-DESK-OS,C01,BRD_MRD_PRD,CONFIRMED,WORKING,#cluster:product-strategy #programa:desk-os #origem:file,BUSINESS_PACK_.txt,file:BUSINESS_PACK_.txt,,,FILE_ROOT,PRESENT,FILE,,BUSINESS_PACK_.txt,10994f01cc64,824,DESK-OS — BRD · MRD · PRD · TECHNICAL SPECS,DESK-OS BRD MRD PRD
FILE-008,cluster_2_mercado_negocio_gtm_unificado.xlsx,FILE_WORKBOOK,PRG-SMALL-BUSINESS,,C02,WORKBOOK,PROPOSED,WORKING,#cluster:business-gtm #programa:small-business #origem:file,cluster_2_mercado_negocio_gtm_unificado.xlsx,file:cluster_2_mercado_negocio_gtm_unificado.xlsx,Validar classificacao,SIM,FILE_ROOT,PRESENT,FILE,,cluster_2_mercado_negocio_gtm_unificado.xlsx,757a2ce87dbd,523,"abas: 00_RESUMO, 01_CLUSTER_2_UNIFICADO, 02_CRITERIOS",
FILE-009,clusters_1_6_7_10_teses_hipoteses_validacao.xlsx,FILE_WORKBOOK,,,C09,WORKBOOK,PROPOSED,WORKING,#cluster:delivery-governance #origem:file,clusters_1_6_7_10_teses_hipoteses_validacao.xlsx,file:clusters_1_6_7_10_teses_hipoteses_validacao.xlsx,Validar classificacao,SIM,FILE_ROOT,PRESENT,FILE,,clusters_1_6_7_10_teses_hipoteses_validacao.xlsx,fd1a95bef0d3,1126,"abas: 00_DASHBOARD, 01_MASTER_VALIDACAO, 02_METODOLOGIA, C1_ESTRATEGIA, C6_CONTE",
